Date,FullName,From,To,Subject
2014-01-07 16:52:00,Anda Ribera,Anda.Ribera@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,Need a ride to lunch later
2014-01-07 16:54:00,Isak Baza,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-07 17:00:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-07 17:02:00,Ada Campo-Corrente,Ada.Campo-Corrente@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",Planning for staff picnic
2014-01-07 17:08:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-07 17:09:00,Nils Calixto,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-07 17:19:00,Ruscella Mies Haber,Ruscella.Mies.Haber@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Can someone cover for me next week?
2014-01-07 17:22:00,Stenig Fusil,Stenig.Fusil@gastech.com.kronos,"Kanon.Herrero@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Isia.Vann@gastech.com.kronos",Resolution of incident
2014-01-07 17:22:00,Elsa Orilla,Elsa.Orilla@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Money for coffee fund
2014-01-07 17:23:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-07 17:26:00,Linda Lagos,Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Catering?!?
2014-01-07 17:28:00,Ruscella Mies Haber,Ruscella.Mies.Haber@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Can someone cover for me next week?
2014-01-07 17:28:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-07 17:33:00,Ruscella Mies Haber,Ruscella.Mies.Haber@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Catering?!?
2014-01-07 17:34:00,Edvard Vann,Edvard.Vann@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Money for coffee fund
2014-01-07 17:41:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-07 17:42:00,Albina Hafon,Albina.Hafon@gastech.com.kronos,"Henk.Mies@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",List of repairs needed
2014-01-07 17:57:00,Elsa Orilla,Elsa.Orilla@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Money for coffee fund
2014-01-07 18:07:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos",GT-SeismicProcessorPro Bug Report
2014-01-07 18:11:00,Benito Hawelon,Benito.Hawelon@gastech.com.kronos,"Dante.Coginian@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos",Be Careful!
2014-01-07 18:31:00,Dylan Scozzese,Dylan.Scozzese@gastech.com.kronos,"Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",Caution downtown
2014-01-07 18:53:00,Henk Mies,Henk.Mies@gastech.com.kronos,"Cecilia.Morluniau@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",Be Careful!
2014-01-07 18:58:00,Valeria Morlun,Valeria.Morlun@gastech.com.kronos,"Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",Caution downtown
2014-01-07 18:59:00,Edvard Vann,Edvard.Vann@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Money for coffee fund
2014-01-07 19:14:00,Valeria Morlun,Valeria.Morlun@gastech.com.kronos,"Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",Caution downtown
2014-01-07 20:17:00,Rachel Pantanal,Rachel.Pantanal@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Too funy - you have to see this...
2014-01-08 08:23:00,Orhan Strum,Orhan.Strum@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",Impact of Kronos politics on upcoming rollout
2014-01-08 08:25:00,Kanon Herrero,Kanon.Herrero@gastech.com.kronos,Irene.Nant@gastech.com.kronos,No hurry
2014-01-08 08:49:00,Sven Flecha,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",Staff still leaving computers unlocked when they leave at the day
2014-01-08 09:00:00,Linda Lagos,Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Babysitting recommendations
2014-01-08 09:17:00,Bertrand Ovan,Bertrand.Ovan@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",Union meeting
2014-01-08 09:19:00,Sten Sanjorge Jr.,Sten.Sanjorge Jr.@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",Impact of Kronos politics on upcoming rollout
2014-01-08 09:39:00,Felix Balas,Felix.Balas@gastech.com.kronos,"Isande.Borrasca@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",Downhole prediction 2522-00 - updated
2014-01-08 09:42:00,Orhan Strum,Orhan.Strum@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",Impact of Kronos politics on upcoming rollout
2014-01-08 09:43:00,Benito Hawelon,Benito.Hawelon@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Who’s tracking the office pool
2014-01-08 09:48:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",Anyone have a spare monitor?
2014-01-08 09:53:00,Linnea Bergen,Linnea.Bergen@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Supplies
2014-01-08 09:54:00,Ada Campo-Corrente,Ada.Campo-Corrente@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",Impact of Kronos politics on upcoming rollout
2014-01-08 10:12:00,Mat Bramar,Mat.Bramar@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",Paid holiday reminders
2014-01-08 10:13:00,Sten Sanjorge Jr.,Sten.Sanjorge Jr.@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos",Suggest topics for upcoming retreat
2014-01-08 10:25:00,Sten Sanjorge Jr.,Sten.Sanjorge Jr.@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",Impact of Kronos politics on upcoming rollout
2014-01-08 10:53:00,Sten Sanjorge Jr.,Sten.Sanjorge Jr.@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",Vistors from Tethys
2014-01-08 10:59:00,Ingrid Barranco,Ingrid.Barranco@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos",Suggest topics for upcoming retreat
2014-01-08 11:02:00,Ada Campo-Corrente,Ada.Campo-Corrente@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",Impact of Kronos politics on upcoming rollout
2014-01-08 11:31:00,Stenig Fusil,Stenig.Fusil@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,Awwww- cute!
2014-01-08 11:32:00,Adan Morlun,Adan.Morlun@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",Union meeting
2014-01-08 11:35:00,Orhan Strum,Orhan.Strum@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",Vistors from Tethys
2014-01-08 11:44:00,Sven Flecha,Sven.Flecha@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",Anyone have a spare monitor?
2014-01-08 11:45:00,Sten Sanjorge Jr.,Sten.Sanjorge Jr.@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",Impact of Kronos politics on upcoming rollout
2014-01-08 11:49:00,Rachel Pantanal,Rachel.Pantanal@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Question - new travel forms
2014-01-08 11:50:00,Albina Hafon,Albina.Hafon@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",Union meeting
2014-01-08 11:53:00,Ingrid Barranco,Ingrid.Barranco@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos",Suggest topics for upcoming retreat
2014-01-08 11:53:00,Ada Campo-Corrente,Ada.Campo-Corrente@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",Impact of Kronos politics on upcoming rollout
2014-01-08 11:58:00,Cecilia Morluniau,Cecilia.Morluniau@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos",Caution downtown
2014-01-08 12:05:00,Nils Calixto,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",Anyone have a spare monitor?
2014-01-08 12:06:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",Anyone have a spare monitor?
2014-01-08 12:08:00,Isak Baza,Isak.Baza@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",Staff still leaving computers unlocked when they leave at the day
2014-01-08 12:16:00,Cornelia Lais,Cornelia.Lais@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Babysitting recommendations
2014-01-08 12:21:00,Nils Calixto,Nils.Calixto@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",Staff still leaving computers unlocked when they leave at the day
2014-01-08 12:25:00,Adan Morlun,Adan.Morlun@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",Union meeting
2014-01-08 12:29:00,Elsa Orilla,Elsa.Orilla@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Who’s tracking the office pool
2014-01-08 12:37:00,Henk Mies,Henk.Mies@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",Union meeting
2014-01-08 12:44:00,Ada Campo-Corrente,Ada.Campo-Corrente@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos",Suggest topics for upcoming retreat
2014-01-08 12:52:00,Orhan Strum,Orhan.Strum@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",Vistors from Tethys
2014-01-08 12:57:00,Lidelse Dedos,Lidelse.Dedos@gastech.com.kronos,"Isande.Borrasca@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",Downhole prediction 2522-00 - updated
2014-01-08 12:58:00,Ada Campo-Corrente,Ada.Campo-Corrente@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos",Suggest topics for upcoming retreat
2014-01-08 13:06:00,Benito Hawelon,Benito.Hawelon@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Who’s tracking the office pool
2014-01-08 13:07:00,Elsa Orilla,Elsa.Orilla@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Who’s tracking the office pool
2014-01-08 13:10:00,Benito Hawelon,Benito.Hawelon@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Who’s tracking the office pool
2014-01-08 13:17:00,Varja Lagos,Varja.Lagos@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Awwww- cute!
2014-01-08 13:22:00,Mat Bramar,Mat.Bramar@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",Parking lottery winners
2014-01-08 13:26:00,Cornelia Lais,Cornelia.Lais@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",Babysitting recommendations
2014-01-08 13:50:00,Lucas Alcazar,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",Anyone have a spare monitor?
2014-01-08 13:57:00,Mat Bramar,Mat.Bramar@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",Vacation donation request
2014-01-08 14:07:00,Orhan Strum,Orhan.Strum@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Orhan.Strum@gastech.com.kronos",Vistors from Tethys
